,title,properties
157,glsrcbin,"['name', 'parent', 'async-handling', 'message-forward', 'src']"
158,glfiltercube,"['name', 'parent', 'qos', 'context', 'red', 'green', 'blue', 'fovy', 'aspect', 'znear', 'zfar']"
159,gleffects,"['name', 'parent', 'qos', 'context', 'effect', 'hswap', 'invert']"
160,gleffects_identity,"['name', 'parent', 'qos', 'context', 'hswap']"
161,gleffects_mirror,"['name', 'parent', 'qos', 'context', 'hswap']"
162,gleffects_squeeze,"['name', 'parent', 'qos', 'context', 'hswap']"
163,gleffects_stretch,"['name', 'parent', 'qos', 'context', 'hswap']"
164,gleffects_tunnel,"['name', 'parent', 'qos', 'context', 'hswap']"
165,gleffects_fisheye,"['name', 'parent', 'qos', 'context', 'hswap']"
166,gleffects_twirl,"['name', 'parent', 'qos', 'context', 'hswap']"
167,gleffects_bulge,"['name', 'parent', 'qos', 'context', 'hswap']"
168,gleffects_square,"['name', 'parent', 'qos', 'context', 'hswap']"
169,gleffects_heat,"['name', 'parent', 'qos', 'context', 'hswap']"
170,gleffects_sepia,"['name', 'parent', 'qos', 'context', 'hswap']"
171,gleffects_xpro,"['name', 'parent', 'qos', 'context', 'hswap']"
172,gleffects_lumaxpro,"['name', 'parent', 'qos', 'context', 'hswap']"
173,gleffects_xray,"['name', 'parent', 'qos', 'context', 'hswap']"
174,gleffects_sin,"['name', 'parent', 'qos', 'context', 'hswap']"
175,gleffects_glow,"['name', 'parent', 'qos', 'context', 'hswap']"
176,gleffects_sobel,"['name', 'parent', 'qos', 'context', 'hswap', 'invert']"
177,gleffects_blur,"['name', 'parent', 'qos', 'context', 'hswap']"
178,gleffects_laplacian,"['name', 'parent', 'qos', 'context', 'hswap', 'invert']"
179,glcolorscale,"['name', 'parent', 'qos', 'context']"
180,glshader,"['name', 'parent', 'qos', 'context', 'shader', 'vertex', 'fragment', 'uniforms', 'update-shader']"
181,glfilterapp,"['name', 'parent', 'qos', 'context']"
182,glviewconvert,"['name', 'parent', 'qos', 'context', 'input-mode-override', 'input-flags-override', 'output-mode-override', 'output-flags-override', 'downmix-mode']"
183,glstereosplit,"['name', 'parent']"
184,gltestsrc,"['name', 'parent', 'blocksize', 'num-buffers', 'typefind', 'do-timestamp', 'pattern', 'timestamp-offset', 'is-live']"
185,gldeinterlace,"['name', 'parent', 'qos', 'context', 'method']"
186,glfilterglass,"['name', 'parent', 'qos', 'context']"
187,videoconvert,"['name', 'parent', 'qos', 'dither', 'dither-quantization', 'chroma-resampler', 'alpha-mode', 'alpha-value', 'chroma-mode', 'matrix-mode', 'gamma-mode', 'primaries-mode', 'n-threads']"
188,adder,"['name', 'parent', 'caps']"
189,appsrc,"['name', 'parent', 'blocksize', 'num-buffers', 'typefind', 'do-timestamp', 'caps', 'size', 'stream-type', 'max-bytes', 'format', 'block', 'is-live', 'min-latency', 'max-latency', 'emit-signals', 'min-percent', 'current-level-bytes', 'duration']"
190,appsink,"['name', 'parent', 'sync', 'max-lateness', 'qos', 'async', 'ts-offset', 'enable-last-sample', 'last-sample', 'blocksize', 'render-delay', 'throttle-time', 'max-bitrate', 'caps', 'eos', 'emit-signals', 'max-buffers', 'drop', 'wait-on-eos', 'buffer-list']"
191,videorate,"['name', 'parent', 'qos', 'in', 'out', 'duplicate', 'drop', 'silent', 'new-pref', 'skip-to-first', 'drop-only', 'average-period', 'max-rate', 'rate']"
192,subparse_typefind,
193,subparse,"['name', 'parent', 'subtitle-encoding', 'video-fps']"
194,ssaparse,"['name', 'parent']"
195,socketsrc,"['name', 'parent', 'blocksize', 'num-buffers', 'typefind', 'do-timestamp', 'socket', 'caps', 'send-messages']"
