,title,properties
57,circle,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle,height,spread-angle"
58,diffuse,"name,parent,qos,off-edge-pixels,scale"
59,kaleidoscope,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle,angle2,sides"
60,marble,"name,parent,qos,off-edge-pixels,x-scale,turbulence,y-scale,amount"
61,pinch,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,intensity"
62,rotate,"name,parent,qos,off-edge-pixels,angle"
63,sphere,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,refraction"
64,twirl,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle"
65,waterripple,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,amplitude,phase,wavelength"
66,stretch,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,intensity"
67,bulge,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,zoom"
68,tunnel,"name,parent,qos,off-edge-pixels,x-center,y-center,radius"
69,square,"name,parent,qos,off-edge-pixels,width,height,zoom"
70,mirror,"name,parent,qos,off-edge-pixels,mode"
71,fisheye,"name,parent,qos,off-edge-pixels"
72,perspective,"name,parent,qos,off-edge-pixels,matrix"
73,rsndvdbin,"name,parent,async-handling,message-forward,device"
74,rmdemux,"name,parent"
75,rademux,"name,parent"
76,rdtdepay,"name,parent"
77,rdtmanager,"name,parent,latency"
78,rtspreal,"name,parent"
79,pnmsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,location"
80,flvdemux,"name,parent"
81,flvmux,"name,parent,latency,start-time-selection,start-time,streamable,metadatacreator"
82,vp8dec,"name,parent,post-processing,post-processing-flags,deblocking-level,noise-level,threads"
83,vp8enc,"name,parent,qos,end-usage,target-bitrate,min-quantizer,max-quantizer,dropframe-threshold,resize-allowed,resize-up-threshold,resize-down-threshold,undershoot,overshoot,buffer-size,buffer-initial-size,buffer-optimal-size,twopass-vbr-bias,twopass-vbr-minsection,twopass-vbr-maxsection,keyframe-mode,keyframe-max-dist,temporal-scalability-number-layers,temporal-scalability-target-bitrate,temporal-scalability-rate-decimator,temporal-scalability-periodicity,temporal-scalability-layer-id,multipass-mode,multipass-cache-file,error-resilient,lag-in-frames,threads,deadline,horizontal-scaling-mode,vertical-scaling-mode,cpu-used,auto-alt-ref,noise-sensitivity,sharpness,static-threshold,token-partitions,arnr-maxframes,arnr-strength,arnr-type,tuning,cq-level,max-intra-bitrate,timebase"
84,vp9dec,"name,parent,post-processing,post-processing-flags,deblocking-level,noise-level,threads"
85,vp9enc,"name,parent,qos,end-usage,target-bitrate,min-quantizer,max-quantizer,dropframe-threshold,resize-allowed,resize-up-threshold,resize-down-threshold,undershoot,overshoot,buffer-size,buffer-initial-size,buffer-optimal-size,twopass-vbr-bias,twopass-vbr-minsection,twopass-vbr-maxsection,keyframe-mode,keyframe-max-dist,temporal-scalability-number-layers,temporal-scalability-target-bitrate,temporal-scalability-rate-decimator,temporal-scalability-periodicity,temporal-scalability-layer-id,multipass-mode,multipass-cache-file,error-resilient,lag-in-frames,threads,deadline,horizontal-scaling-mode,vertical-scaling-mode,cpu-used,auto-alt-ref,noise-sensitivity,sharpness,static-threshold,token-partitions,arnr-maxframes,arnr-strength,arnr-type,tuning,cq-level,max-intra-bitrate,timebase"
86,mssdemux,"name,parent,async-handling,message-forward,connection-speed,bitrate-limit,max-queue-size-buffers"
87,pnmdec,"name,parent"
88,pnmenc,"name,parent,qos,ascii"
89,aacparse,"name,parent,disable-passthrough"
90,amrparse,"name,parent,disable-passthrough"
91,ac3parse,"name,parent,disable-passthrough"
92,dcaparse,"name,parent,disable-passthrough"
93,flacparse,"name,parent,disable-passthrough,check-frame-checksums"
94,mpegaudioparse,"name,parent,disable-passthrough"
95,sbcparse,"name,parent,disable-passthrough"
96,wavpackparse,"name,parent,disable-passthrough"
97,chromaprint,"name,parent,qos,fingerprint,duration"
98,dvbsuboverlay,"name,parent,enable,max-page-timeout,force-end"
99,midiparse,"name,parent"
100,autovideosink,"name,parent,async-handling,message-forward,filter-caps,sync,ts-offset"
101,autovideosrc,"name,parent,async-handling,message-forward,filter-caps,sync"
102,autoaudiosink,"name,parent,async-handling,message-forward,filter-caps,sync,ts-offset"
103,autoaudiosrc,"name,parent,async-handling,message-forward,filter-caps,sync"
104,ofa,"name,parent,qos,fingerprint"
105,y4mdec,"name,parent"
106,dtmfsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,interval"
107,rtpdtmfsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,ssrc,timestamp-offset,seqnum-offset,pt,clock-rate,timestamp,seqnum,packet-redundancy"
108,rtpdtmfdepay,"name,parent,stats,unit-time,max-duration"
109,capsfilter,"name,parent,qos,caps,caps-change-mode"
110,concat,"name,parent,active-pad,adjust-base"
111,dataurisrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,uri"
112,downloadbuffer,"name,parent,max-size-bytes,max-size-time,low-percent,high-percent,temp-template,temp-location,temp-remove"
113,fakesrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,data,sizetype,sizemin,sizemax,filltype,datarate,sync,pattern,signal-handoffs,silent,dump,parentsize,last-message,can-activate-pull,can-activate-push,is-live,format"
114,fakesink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,state-error,silent,dump,signal-handoffs,drop-out-of-segment,last-message,can-activate-push,can-activate-pull,num-buffers"
115,fdsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,fd,timeout"
116,fdsink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,fd"
117,filesrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,location"
118,funnel,"name,parent,forward-sticky-events"
119,identity,"name,parent,qos,sleep-time,error-after,drop-probability,drop-buffer-flags,datarate,silent,single-segment,last-message,dump,sync,ts-offset,check-imperfect-timestamp,check-imperfect-offset,signal-handoffs,drop-allocation"
120,input-selector,"name,parent,n-pads,active-pad,sync-streams,sync-mode,cache-buffers"
121,output-selector,"name,parent,active-pad,resend-latest,pad-negotiation-mode"
122,queue,"name,parent,current-level-buffers,current-level-bytes,current-level-time,max-size-buffers,max-size-bytes,max-size-time,min-threshold-buffers,min-threshold-bytes,min-threshold-time,leaky,silent,flush-on-eos"
123,queue2,"name,parent,current-level-buffers,current-level-bytes,current-level-time,max-size-buffers,max-size-bytes,max-size-time,use-buffering,use-tags-bitrate,use-rate-estimate,low-percent,high-percent,low-watermark,high-watermark,temp-template,temp-location,temp-remove,ring-buffer-max-size,avg-in-rate"
124,filesink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,location,buffer-mode,buffer-size,append"
125,tee,"name,parent,num-src-pads,has-chain,silent,last-message,pull-mode,alloc-pad,allow-not-linked"
126,typefind,"name,parent,caps,minimum,force-caps"
127,multiqueue,"name,parent,extra-size-bytes,extra-size-buffers,extra-size-time,max-size-bytes,max-size-buffers,max-size-time,use-buffering,low-percent,high-percent,low-watermark,high-watermark,sync-by-running-time,use-interleave,unlinked-cache-time,min-interleave-time"
128,valve,"name,parent,drop"
129,streamiddemux,"name,parent,active-pad"
130,dtsdec,"name,parent,min-latency,tolerance,plc,drc"
131,asfdemux,"name,parent"
132,rtspwms,"name,parent"
133,rtpasfdepay,"name,parent,stats"
134,y4menc,"name,parent,qos"
135,fieldanalysis,"name,parent,field-metric,frame-metric,noise-floor,field-threshold,frame-threshold,comb-method,spatial-threshold,block-width,block-height,block-threshold,ignored-lines"
136,dvdemux,"name,parent"
137,dvdec,"name,parent,clamp-luma,clamp-chroma,quality,drop-factor"
138,webrtcbin,"name,parent,async-handling,message-forward,connection-state,signaling-state,ice-gathering-state,ice-connection-state,local-description,remote-description,stun-server,turn-server"
139,mpegtsmux,"name,parent,prog-map,m2ts-mode,pat-interval,pmt-interval,alignment,si-interval"
140,mpeg2enc,"name,parent,format,framerate,aspect,interlace-mode,bitrate,non-video-bitrate,quantisation,vcd-still-size,motion-search-radius,reduction-4x4,reduction-2x2,unit-coeff-elim,min-gop-size,max-gop-size,closed-gop,force-b-b-p,b-per-refframe,quantisation-reduction,quant-reduction-max-var,intra-dc-prec,reduce-hf,keep-hf,quant-matrix,bufsize,norm,sequence-length,pulldown-3-2,sequence-header-every-gop,playback-field-order,dummy-svcd-sof,correct-svcd-hds,altscan-mpeg2,constraints,dualprime"
141,unalignedaudioparse,"name,parent,async-handling,message-forward"
142,unalignedvideoparse,"name,parent,async-handling,message-forward"
143,rawaudioparse,"name,parent,disable-passthrough,use-sink-caps,format,pcm-format,sample-rate,num-channels,interleaved,channel-positions"
144,rawvideoparse,"name,parent,disable-passthrough,use-sink-caps,width,height,format,pixel-aspect-ratio,framerate,interlaced,top-field-first,plane-strides,plane-offsets,frame-size"
145,videoscale,"name,parent,qos,method,add-borders,sharpness,sharpen,dither,envelope,gamma-decode,n-threads"
146,navigationtest,"name,parent,qos"
147,encodebin,"name,parent,async-handling,message-forward,profile,queue-buffers-max,queue-bytes-max,queue-time-max,audio-jitter-tolerance,avoid-reencoding,flags"
148,dvdreadsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,device,title,chapter,angle"
149,musepackdec,"name,parent"
150,interleave,"name,parent,channel-positions,channel-positions-from-input"
151,deinterleave,"name,parent,keep-positions"
152,audioconvert,"name,parent,qos,dithering,noise-shaping,mix-matrix"
153,mpegpsmux,"name,parent,aggregate-gops"
154,flacenc,"name,parent,perfect-timestamp,mark-granule,hard-resync,tolerance,quality,streamable-subset,mid-side-stereo,loose-mid-side-stereo,blocksize,max-lpc-order,qlp-coeff-precision,qlp-coeff-prec-search,escape-coding,exhaustive-model-search,min-residual-partition-order,max-residual-partition-order,rice-parameter-search-dist,padding,seekpoints"
155,flacdec,"name,parent,min-latency,tolerance,plc"
156,flactag,"name,parent"
157,spacescope,"name,parent,shader,shade-amount,style"
158,spectrascope,"name,parent,shader,shade-amount"
159,synaescope,"name,parent,shader,shade-amount"
160,wavescope,"name,parent,shader,shade-amount,style"
161,gamma,"name,parent,qos,gamma"
162,videobalance,"name,parent,qos,contrast,brightness,hue,saturation"
163,videoflip,"video-direction,name,parent,qos,method"
164,videomedian,"name,parent,qos,filtersize,lum-only"
165,video/x-ms-asf,
166,audio/x-musepack,
167,audio/x-au,
168,video/x-msvideo,
169,audio/qcelp,
170,video/x-cdxa,
171,video/x-vcd,
172,audio/x-imelody,
173,audio/midi,
174,audio/riff-midi,
175,audio/mobile-xmf,
176,video/x-fli,
177,application/x-id3v2,
178,application/x-id3v1,
179,application/x-apetag,
180,audio/x-ttafile,
181,audio/x-mod,
182,audio/mpeg,
183,audio/x-ac3,
184,audio/x-dts,
185,audio/x-gsm,
186,video/mpeg-sys,
187,video/mpegts,
188,application/ogg,
